AUC	Sample	Drug1	PredictedAUC	AUCError
0.9018	ACH-000002	Drug_512	0.9444	0.04263
0.7634	ACH-000005	Drug_512	0.738	-0.02538
0.9183	ACH-000008	Drug_512	0.9315	0.01323
0.9456	ACH-000009	Drug_512	0.895	-0.0506
0.8933	ACH-000014	Drug_512	0.9189	0.02557
0.8146	ACH-000017	Drug_512	0.8928	0.07817
0.8726	ACH-000018	Drug_512	0.9091	0.03651
0.954	ACH-000022	Drug_512	0.8702	-0.0838
0.8982	ACH-000023	Drug_512	0.9251	0.02694
0.9103	ACH-000027	Drug_512	0.9452	0.03489
0.8085	ACH-000032	Drug_512	0.9127	0.1042
0.8583	ACH-000035	Drug_512	0.7881	-0.07017
0.787	ACH-000039	Drug_512	0.8159	0.02885
0.9469	ACH-000040	Drug_512	0.9389	-0.007982
0.8837	ACH-000042	Drug_512	0.9393	0.05558
0.9314	ACH-000046	Drug_512	0.8986	-0.03276
0.8832	ACH-000048	Drug_512	0.9034	0.02024
0.9674	ACH-000051	Drug_512	0.8577	-0.1097
0.8536	ACH-000052	Drug_512	0.823	-0.03059
0.8644	ACH-000054	Drug_512	0.9257	0.06131
0.8424	ACH-000055	Drug_512	0.8562	0.01381
0.9358	ACH-000058	Drug_512	0.8959	-0.03994
0.8681	ACH-000059	Drug_512	0.9254	0.05726
0.907	ACH-000060	Drug_512	0.8179	-0.08907
0.8002	ACH-000061	Drug_512	0.8276	0.02738
0.8188	ACH-000062	Drug_512	0.9148	0.09603
0.793	ACH-000065	Drug_512	0.9119	0.1189
0.9041	ACH-000066	Drug_512	0.874	-0.03011
0.9335	ACH-000067	Drug_512	0.9019	-0.03161
0.8792	ACH-000069	Drug_512	0.7975	-0.08169
0.736	ACH-000070	Drug_512	0.7721	0.03606
0.9225	ACH-000073	Drug_512	0.8674	-0.05513
0.8172	ACH-000081	Drug_512	0.8594	0.0422
0.835	ACH-000082	Drug_512	0.8987	0.06366
0.8202	ACH-000087	Drug_512	0.8879	0.06765
0.9042	ACH-000090	Drug_512	0.9151	0.01087
0.9162	ACH-000091	Drug_512	0.9237	0.007479
0.9369	ACH-000092	Drug_512	0.9061	-0.03079
0.9347	ACH-000093	Drug_512	0.9506	0.01585
0.8462	ACH-000096	Drug_512	0.9174	0.07123
0.9133	ACH-000097	Drug_512	0.941	0.02772
0.9625	ACH-000098	Drug_512	0.9438	-0.0187
0.8909	ACH-000102	Drug_512	0.9075	0.01662
0.893	ACH-000107	Drug_512	0.9263	0.03333
0.7921	ACH-000112	Drug_512	0.8735	0.08143
0.7437	ACH-000113	Drug_512	0.9044	0.1607
0.8674	ACH-000114	Drug_512	0.8963	0.02887
0.9988	ACH-000115	Drug_512	0.8811	-0.1177
0.8931	ACH-000116	Drug_512	0.9158	0.02273
0.9231	ACH-000116	Drug_512	0.908	-0.01506
0.8682	ACH-000117	Drug_512	0.8991	0.03087
0.931	ACH-000118	Drug_512	0.866	-0.06498
0.8843	ACH-000120	Drug_512	0.9115	0.02724
0.7647	ACH-000122	Drug_512	0.9304	0.1657
0.9057	ACH-000123	Drug_512	0.9351	0.02938
0.874	ACH-000124	Drug_512	0.869	-0.005026
0.9403	ACH-000126	Drug_512	0.9109	-0.02941
0.7909	ACH-000129	Drug_512	0.8583	0.06738
0.9429	ACH-000132	Drug_512	0.9154	-0.02746
0.9539	ACH-000133	Drug_512	0.899	-0.05491
0.9777	ACH-000135	Drug_512	0.9223	-0.0554
0.8717	ACH-000136	Drug_512	0.8823	0.01059
0.8901	ACH-000137	Drug_512	0.9181	0.02801
0.8808	ACH-000139	Drug_512	0.9005	0.01971
0.706	ACH-000140	Drug_512	0.756	0.04999
0.7391	ACH-000146	Drug_512	0.8777	0.1386
0.8855	ACH-000147	Drug_512	0.9037	0.01817
0.9194	ACH-000148	Drug_512	0.9026	-0.01676
0.8572	ACH-000149	Drug_512	0.9041	0.04689
0.9201	ACH-000150	Drug_512	0.9092	-0.01085
0.7916	ACH-000151	Drug_512	0.8697	0.07812
0.8856	ACH-000152	Drug_512	0.9062	0.02061
0.877	ACH-000153	Drug_512	0.8973	0.02027
0.977	ACH-000154	Drug_512	0.8605	-0.1165
0.9045	ACH-000155	Drug_512	0.8731	-0.03145
0.805	ACH-000156	Drug_512	0.8778	0.07279
0.7596	ACH-000158	Drug_512	0.8331	0.07349
0.8376	ACH-000161	Drug_512	0.8925	0.05494
0.7129	ACH-000162	Drug_512	0.8403	0.1274
0.9501	ACH-000163	Drug_512	0.8919	-0.05825
0.8082	ACH-000168	Drug_512	0.8701	0.06194
0.9431	ACH-000169	Drug_512	0.8953	-0.04782
0.9233	ACH-000171	Drug_512	0.8861	-0.03718
0.8886	ACH-000173	Drug_512	0.8875	-0.001101
0.8645	ACH-000176	Drug_512	0.925	0.0605
0.8381	ACH-000177	Drug_512	0.7627	-0.0754
0.9001	ACH-000178	Drug_512	0.9191	0.01902
0.9937	ACH-000180	Drug_512	0.9441	-0.04961
0.8987	ACH-000181	Drug_512	0.911	0.01228
0.855	ACH-000182	Drug_512	0.8929	0.03795
0.8135	ACH-000183	Drug_512	0.9002	0.08671
0.9245	ACH-000186	Drug_512	0.9307	0.006186
0.8813	ACH-000188	Drug_512	0.8377	-0.04358
