AUC	Sample	Drug1	PredictedAUC	AUCError
0.8575	ACH-000001	Drug_329	0.8922	0.03473
0.8593	ACH-000002	Drug_329	0.8816	0.02229
0.8831	ACH-000004	Drug_329	0.8401	-0.04303
0.8682	ACH-000006	Drug_329	0.858	-0.01023
0.8203	ACH-000007	Drug_329	0.8888	0.06851
0.8889	ACH-000007	Drug_329	0.8648	-0.0241
0.8342	ACH-000008	Drug_329	0.8459	0.01173
0.836	ACH-000009	Drug_329	0.8507	0.01468
0.6477	ACH-000012	Drug_329	0.871	0.2233
0.6717	ACH-000012	Drug_329	0.8011	0.1294
0.8358	ACH-000012	Drug_329	0.7831	-0.05266
0.8322	ACH-000019	Drug_329	0.9139	0.08167
0.8931	ACH-000023	Drug_329	0.8713	-0.02178
0.8853	ACH-000024	Drug_329	0.8503	-0.03502
0.8915	ACH-000038	Drug_329	0.9079	0.01636
0.8668	ACH-000040	Drug_329	0.8247	-0.04206
0.8328	ACH-000042	Drug_329	0.9192	0.08639
0.8042	ACH-000046	Drug_329	0.8219	0.01769
0.7578	ACH-000048	Drug_329	0.8632	0.1054
0.7995	ACH-000052	Drug_329	0.8718	0.0723
0.9063	ACH-000054	Drug_329	0.8802	-0.02609
0.8043	ACH-000055	Drug_329	0.8411	0.0368
0.8232	ACH-000055	Drug_329	0.8677	0.04447
0.6663	ACH-000056	Drug_329	0.7279	0.06158
0.7809	ACH-000058	Drug_329	0.8338	0.05286
0.6771	ACH-000059	Drug_329	0.7078	0.03066
0.8971	ACH-000060	Drug_329	0.8626	-0.03446
0.8645	ACH-000061	Drug_329	0.8431	-0.02142
0.9493	ACH-000062	Drug_329	0.9093	-0.04001
0.8783	ACH-000065	Drug_329	0.784	-0.09428
0.8538	ACH-000067	Drug_329	0.8445	-0.009314
0.7717	ACH-000070	Drug_329	0.6865	-0.08523
0.6026	ACH-000072	Drug_329	0.693	0.09042
0.9237	ACH-000073	Drug_329	0.9141	-0.009557
0.7599	ACH-000074	Drug_329	0.7091	-0.05081
0.9074	ACH-000075	Drug_329	0.8906	-0.01682
0.9193	ACH-000075	Drug_329	0.9158	-0.003517
0.7529	ACH-000078	Drug_329	0.8788	0.1259
0.7	ACH-000081	Drug_329	0.708	0.008023
0.7553	ACH-000082	Drug_329	0.8111	0.05585
0.8398	ACH-000087	Drug_329	0.7617	-0.07809
0.8379	ACH-000090	Drug_329	0.8615	0.02364
0.9867	ACH-000091	Drug_329	0.9042	-0.08248
0.8837	ACH-000092	Drug_329	0.827	-0.05671
0.9066	ACH-000094	Drug_329	0.8748	-0.03185
0.7705	ACH-000096	Drug_329	0.8214	0.05092
0.8087	ACH-000098	Drug_329	0.8643	0.05563
0.7104	ACH-000099	Drug_329	0.8464	0.136
0.8631	ACH-000102	Drug_329	0.8881	0.02504
0.9006	ACH-000103	Drug_329	0.8933	-0.007286
0.834	ACH-000104	Drug_329	0.7516	-0.0824
0.5602	ACH-000105	Drug_329	0.6654	0.1052
0.9945	ACH-000106	Drug_329	0.9188	-0.07573
0.745	ACH-000111	Drug_329	0.8627	0.1177
0.7639	ACH-000112	Drug_329	0.7874	0.02349
0.7962	ACH-000113	Drug_329	0.8511	0.0549
0.8756	ACH-000114	Drug_329	0.9005	0.02485
0.8893	ACH-000115	Drug_329	0.8681	-0.02123
0.8416	ACH-000116	Drug_329	0.8783	0.03666
0.9306	ACH-000117	Drug_329	0.8636	-0.06696
0.8458	ACH-000118	Drug_329	0.86	0.01417
0.8667	ACH-000120	Drug_329	0.8412	-0.02553
0.8819	ACH-000121	Drug_329	0.8821	0.0001524
0.8044	ACH-000124	Drug_329	0.8031	-0.001315
0.6284	ACH-000129	Drug_329	0.7371	0.1087
0.7917	ACH-000132	Drug_329	0.8597	0.06804
0.7008	ACH-000135	Drug_329	0.7887	0.08787
0.8901	ACH-000137	Drug_329	0.8457	-0.04437
0.8568	ACH-000138	Drug_329	0.8718	0.01503
0.8698	ACH-000138	Drug_329	0.8746	0.004751
0.8011	ACH-000139	Drug_329	0.8631	0.06199
0.8788	ACH-000142	Drug_329	0.8997	0.02095
0.6247	ACH-000144	Drug_329	0.717	0.09233
0.6732	ACH-000144	Drug_329	0.7242	0.05102
0.8896	ACH-000146	Drug_329	0.9034	0.01375
0.9191	ACH-000147	Drug_329	0.8761	-0.043
0.6981	ACH-000148	Drug_329	0.8463	0.1482
0.7385	ACH-000149	Drug_329	0.8125	0.07405
0.8483	ACH-000151	Drug_329	0.8173	-0.03096
0.8723	ACH-000153	Drug_329	0.8929	0.02061
0.9371	ACH-000155	Drug_329	0.8937	-0.04335
0.7357	ACH-000157	Drug_329	0.8281	0.0924
0.8825	ACH-000159	Drug_329	0.8277	-0.05484
0.7877	ACH-000161	Drug_329	0.7553	-0.03242
0.851	ACH-000162	Drug_329	0.7199	-0.1311
0.8269	ACH-000168	Drug_329	0.8902	0.06326
0.8405	ACH-000169	Drug_329	0.8713	0.03082
0.7687	ACH-000171	Drug_329	0.8615	0.09284
0.8112	ACH-000174	Drug_329	0.9204	0.1092
0.8697	ACH-000176	Drug_329	0.8022	-0.06745
0.913	ACH-000178	Drug_329	0.8911	-0.02193
0.9989	ACH-000178	Drug_329	0.9037	-0.09523
0.7314	ACH-000181	Drug_329	0.7884	0.05696
0.8639	ACH-000183	Drug_329	0.8365	-0.0274
0.8122	ACH-000186	Drug_329	0.911	0.09875
0.9536	ACH-000187	Drug_329	0.8744	-0.0792
0.7847	ACH-000188	Drug_329	0.7911	0.006444
0.845	ACH-000189	Drug_329	0.8291	-0.01587
0.9487	ACH-000189	Drug_329	0.9039	-0.04476
0.895	ACH-000190	Drug_329	0.8802	-0.01484
0.8937	ACH-000191	Drug_329	0.8906	-0.00315
0.783	ACH-000196	Drug_329	0.8045	0.0215
0.8843	ACH-000197	Drug_329	0.8692	-0.01511
0.8562	ACH-000200	Drug_329	0.7872	-0.06897
0.822	ACH-000201	Drug_329	0.7469	-0.07512
0.8798	ACH-000204	Drug_329	0.8522	-0.02757
0.9024	ACH-000207	Drug_329	0.8448	-0.05763
0.8551	ACH-000210	Drug_329	0.8575	0.002394
0.8577	ACH-000210	Drug_329	0.7574	-0.1003
0.8458	ACH-000211	Drug_329	0.8794	0.03361
0.8775	ACH-000212	Drug_329	0.8802	0.002689
0.9239	ACH-000218	Drug_329	0.8987	-0.02517
0.7935	ACH-000219	Drug_329	0.8784	0.08485
0.8322	ACH-000221	Drug_329	0.8641	0.03186
0.9086	ACH-000221	Drug_329	0.8975	-0.01106
